-4302,4348,-575
-3495,3816,-337
-2772,3216,-55
-2262,2799,22
-1942,2618,-68
-1713,2556,-221
-1480,2525,-394
-1212,2455,-473
-986,2374,-417
-830,2304,-292
-701,2249,-144
-526,2157,19
-274,1988,89
-11,1769,109
219,1518,260
388,1260,515
3443,-11223,9383
5378,-14579,8044
5229,-17185,2514
5351,-17230,-6970
6989,-12149,-13221
8791,-4335,-14797
9631,2082,-14341
8739,6013,-14534
5655,6894,-14740
1477,4137,-11362
-1146,828,-7089
-1818,-1540,-3870
-1484,-2150,-2610
-586,-1364,-3239
456,-430,-4368
1084,-257,-4679
1097,-478,-4321
198,-801,-3510
-1928,-1323,-1156
-4078,-1370,1152
-5229,-1172,2677
-5111,-693,2445
-4301,3,1083
-3408,704,-419
-2722,1092,-1335
-2325,1299,-1747
-2269,1673,-2035
-2513,2232,-2173
-2972,2714,-1896
-3448,2888,-1169
-3757,2644,-155
-3797,2177,765
-3577,1820,1100
-3094,1624,749
-2462,1544,81
-1827,1525,-556
-1331,1508,-875
-1026,1520,-915
-888,1623,-809
-915,1796,-597
2028,-11489,7627
3310,-13909,4249
5560,-13335,-3114
7639,-9138,-10332
8524,-3427,-14279
8021,1370,-16187
7582,3063,-14566
7532,2093,-10759
8218,515,-7732
8899,-689,-6547
8919,-885,-7486
8384,-733,-9233
7256,-918,-10523
5585,-1607,-10827
3050,-2256,-9862
-279,-2459,-7729
-3563,-2230,-4349
-5598,-1923,-1458
-6072,-1994,-11
-5684,-2110,-1
-5238,-1896,-751
-5202,-1330,-1493
-5539,-487,-1831
-6078,544,-1606
-6830,1869,-728
-7524,3311,447
-7829,4544,1263
-7619,5275,1414
-6916,5341,957
-5862,4816,116
-4594,3922,-853
-3403,3098,-1742
-2606,2664,-2178
-2154,2546,-2194
-1941,2601,-1943
-1856,2687,-1475
-1838,2751,-965
-1823,2692,-401
-1750,2430,104
-1569,1975,462
16221,65,-10304
16480,-5616,-13149
12659,-10656,-16175
1815,-10924,-16197
-6347,-8957,-10406
-11332,-6273,-4984
-13894,-3617,-1902
-13230,-2901,-1194
-11038,-3419,-555
-9799,-3119,1070
-9369,-2082,2546
-9080,-751,2737
-8580,434,1980
-8020,1595,1051
-7315,2560,75
-6199,2931,-856
-4667,2593,-1670
-3099,1936,-2341
-1868,1332,-2516
-1233,1054,-2240
-1027,1041,-1850
-1095,1155,-1475
-1334,1385,-1081
-1607,1683,-678
-1842,1944,-360
-1938,2070,-248
-1743,1944,-603
-1315,1627,-1142
-801,1276,-1386
-325,1038,-1266
37,899,-1009
289,829,-712
424,799,-379
449,831,-53
394,929,128
232,1096,150
62,1229,121
-67,1273,63
-113,1208,0
-58,1027,-63
489,-12053,3648
2609,-11452,-2645
5082,-7771,-8914
6595,-2758,-12168
6420,1844,-13765
5161,4881,-14071
4210,5662,-12624
4379,5132,-11032
5537,3801,-9716
6723,1878,-8242
7249,-175,-6707
6789,-1829,-5327
5722,-2775,-4438
4413,-3130,-4052
2368,-2937,-3612
-36,-2576,-2429
-1574,-2345,-1308
-1991,-2198,-938
-1965,-1852,-1346
-2065,-1319,-1823
-2592,-676,-1854
-3301,-52,-1453
-4011,594,-902
-4752,1371,-215
-5333,2132,510
-5535,2696,977
-5437,2990,1168
-5123,3063,1063
-4526,2949,559
-3695,2642,-181
-2902,2313,-808
-2278,2109,-1210
-1911,2080,-1365
-1672,2137,-1420
-1557,2224,-1343
-1586,2358,-1092
-1683,2472,-690
-1731,2534,-341
-1706,2544,-163
-1545,2440,-161
2531,-14098,5458
521,-15675,-1783
-604,-12721,-9978
1794,-5667,-13476
5238,1056,-14047
7224,4903,-14134
6771,3819,-10791
5564,760,-6330
4613,-1816,-3101
3528,-3128,-1400
2985,-2656,-2186
2939,-1742,-3536
2848,-1375,-4265
2596,-1625,-4334
2316,-1979,-4318
1913,-2194,-4475
1057,-2546,-4217
38,-3284,-3187
-1289,-3942,-1749
-3056,-3674,-433
-4155,-2954,197
-4446,-1939,-305
-4302,-809,-1342
-3981,85,-2148
-3674,845,-2734
-3498,1550,-3030
-3436,2098,-3037
-3522,2375,-2641
-3836,2567,-1655
-4187,2877,-599
-4313,3294,-65
-4189,3642,0
-3807,3754,-250
-3269,3706,-679
-2731,3577,-1024
-2225,3376,-1199
-1780,3096,-1217
-1460,2864,-1082
-1289,2726,-856
-1194,2621,-532
-4292,-9985,13765
104,-12032,12233
6166,-12276,6952
9679,-9453,-649
9859,-4644,-7489
9260,206,-11004
9369,3903,-11092
10230,6277,-9007
10389,6907,-6530
9496,6246,-4832
8268,5025,-3779
7087,3671,-3001
6080,2416,-2336
5321,1384,-1774
4754,559,-1334
4306,-120,-834
3901,-700,-143
3561,-1208,612
3234,-1591,1240
2876,-1820,1600
2537,-1897,1649
2222,-1817,1307
1922,-1620,600
1640,-1396,-266
1384,-1198,-967
1168,-1062,-1359
969,-1045,-1448
718,-1174,-1247
406,-1457,-784
110,-1749,-245
-144,-1966,195
-312,-2037,411
-354,-1910,324
-324,-1659,74
-274,-1385,-208
-258,-1165,-523
-291,-1035,-886
-323,-953,-1155
-335,-901,-1237
-255,-843,-1036
7930,-8534,-7466
8109,-7979,-1292
7369,-6582,3494
7237,-5166,6927
7630,-4157,9440
7627,-3600,11255
7165,-3566,12488
5860,-4303,12188
3431,-4826,10512
245,-4327,7877
-2910,-2478,4783
-4879,-195,2345
-5607,1547,910
-5601,2647,336
-5617,3298,186
-5592,3752,308
-5517,4088,301
-5464,4173,-433
-5488,4414,-1772
-5626,4962,-3173
