1272,-6724,2731
-190,-5747,4442
-1730,-4520,5633
-2782,-3306,6433
-3077,-2354,6373
-2655,-1689,5286
-1597,-1223,3455
-162,-899,1720
1196,-651,654
2089,-488,141
2363,-360,-27
-3989,-11294,5980
-2422,-14930,3993
-602,-17893,518
-1097,-17185,-7427
-1606,-12515,-16122
2125,-4128,-17869
5293,3826,-14644
4804,9006,-11078
2783,10336,-8700
429,6417,-5694
-875,4548,-4180
-884,6281,-4218
-324,8471,-4401
451,9844,-4435
1299,10288,-4412
2020,10172,-4482
2381,9406,-4730
2248,8039,-4887
2055,6443,-5033
1798,4767,-5058
1522,3071,-4898
1165,1562,-4562
693,535,-4268
257,23,-4375
-116,-144,-5009
-557,-492,-5692
-1006,-1291,-5785
-1210,-2423,-5016
-959,-3599,-3284
-444,-4566,-586
-234,-4848,1793
-510,-4576,3642
-895,-3993,5010
-1149,-3273,5969
-1175,-2577,6448
-974,-1962,6129
-674,-1432,5276
-374,-967,4092
-166,-541,2686
73,-167,1437
206,-12080,5387
36,-15269,3759
-970,-17018,-438
-3600,-15738,-7606
-5289,-10351,-13418
-3680,-2806,-14809
3,4478,-13504
2024,9432,-11819
2523,9902,-9717
2180,6252,-6467
1319,4562,-4780
359,5474,-4489
-340,7415,-4648
-470,8992,-4834
-56,9424,-4872
754,8892,-4794
1648,7964,-4770
2257,7084,-4993
2306,5988,-5269
1658,4453,-5058
960,2712,-4449
470,1255,-3748
110,504,-3459
-34,296,-3758
-145,224,-4375
-446,-111,-4912
-878,-874,-4970
-945,-2055,-4194
-555,-3315,-2194
-87,-4211,477
-125,-4453,2678
-424,-4152,4368
-704,-3594,5583
-949,-2911,6424
-1083,-2228,6551
-1022,-1637,5828
-763,-1141,4702
-371,-727,3345
-9,-387,1919
326,-104,737
-3277,-10444,6348
-3309,-13944,5033
-2756,-17055,2525
-3056,-17851,-3526
-3984,-14307,-12638
-2318,-6476,-15784
1128,1939,-14216
2263,7778,-11620
1631,9934,-9606
658,8744,-7595
387,8830,-6829
659,10338,-6856
1203,11575,-6999
1860,11829,-6968
2490,11489,-6968
2749,10887,-7202
2467,9393,-7490
1868,6986,-7280
1290,4435,-6562
853,2502,-5818
490,1318,-5463
40,430,-5514
-446,-618,-5476
-726,-2016,-4755
-589,-3443,-3197
-301,-4512,-1070
-142,-4992,1171
-254,-4898,3124
-695,-4422,4685
-1148,-3835,5855
-1380,-3217,6681
-1359,-2645,7098
-1065,-2137,6666
-605,-1685,5733
-94,-1259,4559
331,-843,3327
697,-457,2176
970,-113,1201
1077,150,541
1024,348,91
-2114,-12794,5311
-1654,-16471,3595
26,-18802,-454
207,-16076,-10192
275,-8623,-15328
-2993,-132,-13212
-5017,5771,-10739
-3383,6594,-9033
-1325,1935,-6135
-571,910,-4943
-592,3585,-5298
-1045,6765,-5852
-1412,8758,-6146
-1382,9513,-6209
-1163,9397,-6237
-1023,8811,-6256
-1107,8017,-6392
-1494,6285,-6479
-1731,3654,-5868
-1448,1040,-4630
-1004,-774,-3400
-582,-1852,-2414
-375,-2318,-1807
-326,-2426,-1573
-189,-2380,-1607
25,-2441,-1457
233,-2611,-930
389,-2736,-205
577,-2716,457
793,-2578,1110
957,-2345,1797
1080,-2084,2364
1291,-1792,2846
1629,-1455,3325
1897,-1093,3806
1873,-790,4142
1674,-555,3929
1512,-337,3278
1404,-132,2528
1190,-14,1839
-3471,-9691,6195
-2884,-13504,4849
-1656,-17226,2157
-3272,-17288,-4248
-5537,-13409,-12507
-4484,-7008,-16410
-1147,512,-15706
1220,6583,-13121
1367,10486,-11093
22,12274,-9253
-1614,12217,-7384
-2063,12427,-6608
-1125,12666,-6557
191,12340,-6480
1261,11517,-6251
1923,10640,-6024
2221,9951,-6000
2239,9344,-6461
2126,8420,-7238
2064,6921,-8097
2104,4845,-8701
2030,2522,-8834
1646,389,-8495
920,-1525,-8006
100,-3398,-6783
-515,-4936,-4422
-895,-5774,-1559
-1228,-5877,1109
-1669,-5463,3179
-2117,-4796,4745
-2279,-4083,5874
-1932,-3513,6636
-1189,-3049,7116
-408,-2642,6945
343,-2253,5913
996,-1835,4555
1363,-1380,3128
1446,-932,1892
1383,-534,1016
1303,-209,397
-3483,-10862,5163
-2367,-15190,3195
-2291,-17867,-856
-4686,-15720,-8051
-4724,-10015,-14147
-838,-3190,-15875
2151,3341,-14643
2634,8144,-12420
1108,11548,-10248
-843,12907,-8320
-1389,13044,-7120
-321,13562,-7008
1057,13767,-7072
2062,12882,-6879
2764,11317,-6474
3032,9849,-6030
2744,8628,-5664
2236,7482,-5576
1561,6343,-5671
899,5182,-5853
453,3784,-5932
73,2425,-5864
-417,1314,-5693
-934,492,-5562
-1293,-214,-5719
-1483,-1230,-5676
-1453,-2633,-4672
-1343,-4001,-2519
-1186,-4885,74
-910,-5175,2202
-699,-4983,3863
-487,-4512,5113
-285,-3914,6034
-41,-3276,6255
356,-2727,5848
823,-2285,5098
1248,-1882,4258
1545,-1538,3438
1650,-1227,2701
1560,-929,2114
-1526,-11383,4667
-2712,-14792,3017
-4636,-16566,-1485
-7216,-13216,-10577
-8607,-6837,-15671
-3755,675,-14674
2351,5939,-12845
4139,9764,-10715
2410,11019,-8638
-388,9876,-6724
-1337,9485,-5957
-764,10106,-5964
-50,10589,-5969
523,10205,-5762
968,9026,-5513
1208,7562,-5114
1163,5969,-4734
1015,4628,-4550
1077,3551,-4587
1209,2435,-4706
1283,1177,-4569
1331,-72,-4127
1138,-886,-3576
633,-1171,-3243
21,-1303,-3164
-499,-1557,-2913
-908,-2034,-2103
-1077,-2707,-611
-1073,-3244,1230
-906,-3513,2927
-739,-3504,4300
-629,-3312,5339
-504,-3019,6007
-405,-2618,5981
-320,-2163,5445
-191,-1739,4676
-29,-1346,3794
134,-955,2812
296,-592,1791
439,-290,896
-3858,-11148,5040
-4792,-14534,3350
-5375,-17017,-499
-6012,-14768,-9795
-5819,-9475,-16520
-506,-1163,-15887
4709,5148,-13314
4118,9489,-10629
534,7029,-7489
-2343,2678,-4625
-2691,2397,-4050
-1867,4263,-4344
-804,6164,-4568
11,7084,-4523
543,6886,-4277
907,6069,-3934
977,4986,-3543
800,3970,-3241
681,3052,-3056
673,2047,-2857
690,1103,-2627
737,328,-2341
778,-262,-2022
718,-540,-1813
577,-564,-1791
335,-533,-1849
90,-548,-1897
-44,-617,-1889
-103,-798,-1715
-41,-1146,-1197
109,-1598,-308
158,-1921,865
236,-2079,2089
266,-2061,2971
177,-1856,3378
34,-1553,3464
-95,-1254,3426
-127,-1003,3306
-47,-793,3083
75,-621,2747
-6273,-11820,5090
-7153,-15264,2497
-9102,-14396,-6402
-9806,-10262,-14898
-6681,-3289,-16823
553,3527,-14409
5822,7903,-11970
6332,9810,-10627
3250,4839,-8188
193,321,-5679
-1298,-2459,-3013
-1392,-1870,-2168
-898,441,-2425
-183,2520,-2788
335,3679,-2937
531,4028,-2909
487,3962,-2923
348,3671,-3012
237,3059,-3033
89,2205,-2763
-207,1463,-2370
-556,1000,-2112
-825,725,-2005
-1013,530,-1972
-1138,370,-1902
-1042,141,-1807
-736,-185,-1647
-284,-615,-1268
170,-1074,-561
442,-1420,360
538,-1634,1298
